country,Recovered
USA,283178.0
Germany,155041.0
Spain,150376.0
Italy,127326.0
Turkey,111577.0
Brazil,100459.0
Iran,95661.0
China,79310.0
Russia,70209.0
France,61843.0
Canada,39251.0
India,39233.0
Mexico,35388.0
Peru,30306.0
Saudi Arabia,28748.0
Switzerland,27600.0
Chile,20165.0
Ireland,19470.0
Belgium,14657.0
Austria,14614.0
Israel,13253.0
Pakistan,12489.0
Japan,11564.0
Belarus,10130.0
South Korea,9938.0
Romania,9930.0
Singapore,9835.0
United Arab Emirates,9577.0
Denmark,9499.0
Poland,7628.0
South Africa,7298.0
Dominican Republic,6613.0
Portugal,6430.0
Australia,6413.0
Panama,6081.0
Czechia,5641.0
Malaysia,5615.0
Ukraine,5276.0
others,124832.0
